# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.359999999999999924e-02 0.000000000000000000e+00
2.709999999999999909e-02 0.000000000000000000e+00
4.070000000000000007e-02 0.000000000000000000e+00
5.430000000000000104e-02 0.000000000000000000e+00
6.790000000000000202e-02 0.000000000000000000e+00
8.140000000000000013e-02 0.000000000000000000e+00
9.500000000000000111e-02 0.000000000000000000e+00
1.086000000000000021e-01 0.000000000000000000e+00
1.222000000000000031e-01 0.000000000000000000e+00
1.356999999999999873e-01 0.000000000000000000e+00
1.492999999999999883e-01 0.000000000000000000e+00
1.628999999999999893e-01 0.000000000000000000e+00
1.764000000000000012e-01 0.000000000000000000e+00
1.900000000000000022e-01 0.000000000000000000e+00
2.036000000000000032e-01 0.000000000000000000e+00
2.172000000000000042e-01 0.000000000000000000e+00
2.306999999999999884e-01 0.000000000000000000e+00
2.442999999999999894e-01 0.000000000000000000e+00
2.579000000000000181e-01 0.000000000000000000e+00
2.715000000000000191e-01 0.000000000000000000e+00
2.849999999999999756e-01 0.000000000000000000e+00
2.985999999999999766e-01 0.000000000000000000e+00
3.121999999999999775e-01 0.000000000000000000e+00
3.256999999999999895e-01 0.000000000000000000e+00
3.392999999999999905e-01 0.000000000000000000e+00
3.528999999999999915e-01 0.000000000000000000e+00
3.664999999999999925e-01 0.000000000000000000e+00
3.800000000000000044e-01 0.000000000000000000e+00
3.936000000000000054e-01 0.000000000000000000e+00
4.072000000000000064e-01 0.000000000000000000e+00
4.208000000000000074e-01 0.000000000000000000e+00
4.343000000000000194e-01 0.000000000000000000e+00
4.479000000000000203e-01 0.000000000000000000e+00
4.615000000000000213e-01 0.000000000000000000e+00
4.751000000000000223e-01 0.000000000000000000e+00
4.885999999999999788e-01 0.000000000000000000e+00
5.021999999999999797e-01 0.000000000000000000e+00
5.158000000000000362e-01 0.000000000000000000e+00
5.292999999999999927e-01 0.000000000000000000e+00
5.429000000000000492e-01 0.000000000000000000e+00
5.564999999999999947e-01 0.000000000000000000e+00
5.701000000000000512e-01 0.000000000000000000e+00
5.836000000000000076e-01 0.000000000000000000e+00
5.971999999999999531e-01 0.000000000000000000e+00
6.108000000000000096e-01 0.000000000000000000e+00
6.243999999999999551e-01 0.000000000000000000e+00
6.379000000000000226e-01 0.000000000000000000e+00
6.514999999999999680e-01 0.000000000000000000e+00
6.651000000000000245e-01 0.000000000000000000e+00
6.785999999999999810e-01 0.000000000000000000e+00
6.922000000000000375e-01 0.000000000000000000e+00
7.057999999999999829e-01 0.000000000000000000e+00
7.194000000000000394e-01 0.000000000000000000e+00
7.328999999999999959e-01 0.000000000000000000e+00
7.465000000000000524e-01 0.000000000000000000e+00
7.600999999999999979e-01 0.000000000000000000e+00
7.737000000000000544e-01 0.000000000000000000e+00
7.872000000000000108e-01 0.000000000000000000e+00
8.007999999999999563e-01 0.000000000000000000e+00
8.144000000000000128e-01 0.000000000000000000e+00
8.278999999999999693e-01 0.000000000000000000e+00
8.415000000000000258e-01 0.000000000000000000e+00
8.550999999999999712e-01 0.000000000000000000e+00
8.687000000000000277e-01 0.000000000000000000e+00
8.821999999999999842e-01 0.000000000000000000e+00
